id,latitude_deg,longitude_deg
07FD,30.41799927,-83.28379822
07FL,26.60540009,-81.85949707
07GA,33.67499924,-83.76309967
07I,39.05870056,-86.44609833
07ID,42.27819824,-113.3050003
07II,39.01060104,-85.64080048
07IN,39.57369995,-85.91390228
07K,41.11259842,-98.05169678
07KS,37.73419952,-96.93669891
07KY,38.08060074,-85.69329834
07LA,29.93709946,-90.18370056
07LS,32.51810074,-91.98899841
07MA,41.91699982,-70.70950317
07MD,39.60829926,-77.05190277
07ME,43.73830032,-70.33920288
07MI,43.86420059,-85.02390289
07MN,44.05500031,-95.90950012
07MO,38.65000153,-93.61689758
07MT,48.42110062,-106.5279999
07N,40.01679993,-77.00389862
07NC,34.83319855,-80.75119781
07NH,43.17559814,-72.06390381
07NJ,40.79180145,-73.99539948
07NY,42.66640091,-74.76499939
07OH,39.93730164,-81.6835022
07OK,34.63339996,-99.03369904
07OR,45.42179871,-122.6200027
07PN,40.998889,-78.125278
07SN,39.77280045,-99.36009979
07TA,29.2404995,-95.34470367
07TE,27.72109985,-97.51280212
07TN,35.5685997,-84.2410965
07TS,30.625,-97.57279968
07TX,33.18399811,-96.44799805
07UT,41.7166667,-112.4472222
07VA,36.81959915,-78.78309631
07VT,44.44720078,-72.91470337
07WA,47.65179825,-117.4250031
07WI,42.96530151,-88.39150238
07XS,32.54219818,-97.39170074
07Y,46.95550156,-93.59690094
08AK,61.569639,-149.724439
08AR,35.141944,-90.19
08AZ,33.41740036,-111.836998
08B,44,-69.88710022
08CA,38.69490051,-120.8270035
08CL,37.85960007,-120.5540009
08CN,36.172031,-119.306181
08CO,38.73249817,-104.0410004
08CT,41.89599991,-73.0931015
08F,34.53179932,-96.23310089
08FA,26.57979965,-81.48370361
08FD,27.36310005,-80.77279663
08FL,27.08449936,-81.3286972
08G,40.11090088,-81.52619934
08GA,31.42580032,-81.2858963
08ID,43.56930161,-116.7770004
08II,41.64590073,-85.42639923
08IL,41.57699966,-89.79399872
08IN,41.223056,-85.830556
08IS,37.97779846,-89.20290375
08KS,39.03469849,-97.58000183
08KY,36.97259903,-84.62609863
08LA,29.95299911,-90.18260193
08LL,41.07529831,-88.48919678
08LS,30.40360069,-92.02359772
08MA,42.29399872,-71.49620056
08MD,39.38830185,-76.61000061
08ME,44.81420135,-70.34529877
08MI,42.73419952,-84.53659821
08MN,47.66939926,-93.05439758
08MO,37.39559937,-94.28379822
08MS,34.66220093,-89.86830139
08MT,47.06389999,-108.8170013
08N,40.29180145,-76.32879639
08NC,36.06760025,-80.46559906
08ND,47.32310104,-102.0979996
08NE,42.43170166,-97.07949829
08NH,44.06129837,-71.13580322
08NJ,40.76259995,-74.30400085
08NY,41.36809921,-74.50559998
08OH,41.29169846,-80.56369781
08OK,34.93149948,-95.25830078
08OR,42.83929825,-121.1169968
08PA,41.0583992,-75.49960327
08PN,40.04589844,-76.28079987
08R,41.48949814,-71.62059784
08TA,29.95190048,-98.22450256
08TE,29.97599983,-98.74359894
08TS,26.88780022,-98.50720215
08TX,32.85820007,-97.74749756
08U,41.51570129,-115.8600006
08VA,37.55400085,-79.74980164
08WA,47.57429886,-122.5479965
08WI,43.04359818,-90.35510254
08XS,29.10810089,-95.77749634
09AK,61.589361,-149.847333
09AR,33.27320099,-93.23989868
09AZ,31.9253006,-110.038002
09CA,36.20554,-121.132503
09CL,39.11380005,-121.0569992
09CN,36.182556,-119.313572
09CO,38.05559921,-103.6529999
09FA,27.24559975,-81.4131012
09FD,28.67110062,-82.08730316
09FL,27.05559921,-81.97059631
09GA,31.11129951,-83.68409729
09I,48.60580063,-93.3707962
09IA,41.74580002,-92.40930176
09ID,45.10390091,-114.8550034
09II,38.44729996,-86.44499969
09IL,41.53639984,-88.05259705
09IN,41.1208992,-85.42500305
09IS,42.26499939,-89.07430267
09KS,38.70700073,-95.13829803
09KY,38.23899841,-85.63939667
09LA,29.12330055,-90.2016983
09LL,42.4681015,-88.74320221
09LS,30.82439995,-91.38459778
09MA,42.3042984,-71.50589752
09ME,43.34080124,-70.85469818
09MI,42.70809937,-84.56079865
09MN,44.77999878,-95.66359711
09MO,37.3783989,-93.36329651
09N,41.83259964,-73.87599945
09NC,35.32929993,-79.02999878
09NE,41.33330154,-96.19360352
09NJ,40.65370178,-74.68650055
09NY,41.92890167,-74.04889679
09OK,36.35449982,-95.86389923
09OR,45.587235,-121.163827
09PA,40.82699966,-77.98809814
09PN,40.56200027,-75.1427002
09S,48.84090042,-117.2839966
09TA,33.28210068,-97.49700165
09TE,32.26679993,-97.86699677
09TN,35.94169998,-83.94400024
09TS,29.48240089,-103.1650009
09TX,30.7390995,-102.0240021
09VA,36.97650146,-80.49389648
09VG,38.09080124,-78.98500061
09W,38.86869812,-77.00749969
09WA,47.71039963,-117.4069977
09WI,44.00360107,-91.30760193
09XS,29.43300056,-98.49220276
09Y,44.8166008,-93.01550293
0AK,61.934601,-162.899994
0AK0,64.39250183,-146.8619995
0AK1,61.6169014,-149.3220062
0AK2,61.725556,-150.678611
0AK3,62.03590012,-150.4940033
0AK5,61.35649872,-142.7330017
0AK6,61.80339813,-147.9440002
0AK7,59.77610016,-150.9589996
0AK8,64.89579773,-147.496994
0AK9,61.33259964,-150.0590057
0AL0,34.68840027,-86.58889771
0AL1,30.44389915,-87.6568985
0AL2,33.27500153,-85.83329773
0AL3,31.43059921,-86.94029999
0AL4,34.44079971,-85.75640106
0AL5,31.03219986,-87.25279999
0AL6,31.12719917,-87.07330322
0AL7,34.00830078,-85.96530151
0AL8,33.46390152,-86.77310181
0AL9,34.84999847,-87.63249969
0AR0,36.18149948,-94.13710022
0AR1,35.09469986,-93.20200348
0AR2,35.26679993,-90.35009766
0AR3,35.89899826,-93.26100159
0AR4,36.40790176,-94.45690155
0AR5,35.83620071,-90.70179749
0AR6,34.48149872,-93.03099823
0AR7,33.95009995,-91.18119812
0AR8,33.95009995,-93.85209656
0AR9,36.40010071,-93.74349976
0AZ0,33.48130035,-112.0400009
0AZ1,32.30089951,-111.3239975
0AZ2,33.77809906,-113.6419983
0AZ4,32.9822998,-112.2870026
0AZ5,33.86589813,-112.6029968
0AZ6,33.4817009,-112.0770035
0AZ7,33.44369888,-111.9629974
0B2,44.76369858,-68.76779938
0B7,44.11669922,-72.82710266
0C1,39.4878006,-94.78050232
0C2,41.77090073,-88.70339966
